roi_id,roi_name,hemi,network,ipsi_contra
420,7Networks_RH_Vis_20,RH,Vis,contra
421,7Networks_RH_Vis_21,RH,Vis,contra
422,7Networks_RH_Vis_22,RH,Vis,contra
423,7Networks_RH_Vis_23,RH,Vis,contra
424,7Networks_RH_Vis_24,RH,Vis,contra
425,7Networks_RH_Vis_25,RH,Vis,contra
426,7Networks_RH_Vis_26,RH,Vis,contra
427,7Networks_RH_Vis_27,RH,Vis,contra
428,7Networks_RH_Vis_28,RH,Vis,contra
429,7Networks_RH_Vis_29,RH,Vis,contra
430,7Networks_RH_Vis_30,RH,Vis,contra
431,7Networks_RH_Vis_31,RH,Vis,contra
432,7Networks_RH_Vis_32,RH,Vis,contra
433,7Networks_RH_Vis_33,RH,Vis,contra
434,7Networks_RH_Vis_34,RH,Vis,contra
435,7Networks_RH_Vis_35,RH,Vis,contra
436,7Networks_RH_Vis_36,RH,Vis,contra
437,7Networks_RH_Vis_37,RH,Vis,contra
