roi_id,roi_name,mni_x,mni_y,mni_z,hemi,network
188,7Networks_LH_DorsAttn_PrCv_1,70.319277,65.861446,50.108434,LH,DorsAttn
189,7Networks_LH_DorsAttn_PrCv_2,68.674107,64.241071,54.84375,LH,DorsAttn
190,7Networks_LH_SalVentAttn_ParOper_1,68.809917,43.669421,48.165289,LH,SalVentAttn
191,7Networks_LH_SalVentAttn_ParOper_2,74.333333,40.467836,47.467836,LH,SalVentAttn
192,7Networks_LH_SalVentAttn_ParOper_3,71.895238,46.904762,47.447619,LH,SalVentAttn
193,7Networks_LH_SalVentAttn_ParOper_4,76.349282,49.105263,47.736842,LH,SalVentAttn
194,7Networks_LH_SalVentAttn_ParOper_5,74.616034,42.561181,51.122363,LH,SalVentAttn
195,7Networks_LH_SalVentAttn_ParOper_6,74.2,53.948387,50.974194,LH,SalVentAttn
196,7Networks_LH_SalVentAttn_ParOper_7,76.28692,50.527426,53.953586,LH,SalVentAttn
197,7Networks_LH_SalVentAttn_ParOper_8,75.629412,45.717647,54.211765,LH,SalVentAttn
198,7Networks_LH_SalVentAttn_TempOcc_1,72.408537,35.426829,42.542683,LH,SalVentAttn
199,7Networks_LH_SalVentAttn_FrOperIns_1,64.378007,63.85567,31.907216,LH,SalVentAttn
200,7Networks_LH_SalVentAttn_FrOperIns_2,62.474359,77.833333,35.576923,LH,SalVentAttn
201,7Networks_LH_SalVentAttn_FrOperIns_3,64.519481,62.733766,37.181818,LH,SalVentAttn
202,7Networks_LH_SalVentAttn_FrOperIns_4,65.163265,56.193878,35.329932,LH,SalVentAttn
203,7Networks_LH_SalVentAttn_FrOperIns_5,61.577947,72.608365,40.041825,LH,SalVentAttn
204,7Networks_LH_SalVentAttn_FrOperIns_6,62.854962,62.847328,41.473282,LH,SalVentAttn
205,7Networks_LH_SalVentAttn_FrOperIns_7,64.490196,67.254902,40.372549,LH,SalVentAttn
206,7Networks_LH_SalVentAttn_FrOperIns_8,67.172414,68.103448,36.793103,LH,SalVentAttn
207,7Networks_LH_SalVentAttn_FrOperIns_9,65.987805,61.768293,42.792683,LH,SalVentAttn
208,7Networks_LH_SalVentAttn_FrOperIns_10,70.459016,63.540984,38.094262,LH,SalVentAttn
209,7Networks_LH_SalVentAttn_FrOperIns_11,72.535354,67.474747,40.060606,LH,SalVentAttn
210,7Networks_LH_SalVentAttn_FrOperIns_12,74.07767,65.805825,44.553398,LH,SalVentAttn
211,7Networks_LH_SalVentAttn_PFCl_1,59.943609,85.859023,49.650376,LH,SalVentAttn
212,7Networks_LH_SalVentAttn_PFCl_2,57.993289,81.395973,54.496644,LH,SalVentAttn
213,7Networks_LH_SalVentAttn_Med_1,48.2103,76.356223,50.76824,LH,SalVentAttn
214,7Networks_LH_SalVentAttn_Med_2,47.762821,71.237179,51.711538,LH,SalVentAttn
215,7Networks_LH_SalVentAttn_Med_3,46.145455,63.763636,53.672727,LH,SalVentAttn
216,7Networks_LH_SalVentAttn_Med_4,48.687179,65.179487,56.061538,LH,SalVentAttn
217,7Networks_LH_SalVentAttn_Med_5,50.412844,47.587156,55.816514,LH,SalVentAttn
218,7Networks_LH_SalVentAttn_Med_6,47.720183,70.16055,57.454128,LH,SalVentAttn
219,7Networks_LH_SalVentAttn_Med_7,50.140351,53.114035,55.903509,LH,SalVentAttn
220,7Networks_LH_SalVentAttn_Med_8,51.974684,42.810127,58.556962,LH,SalVentAttn
221,7Networks_LH_SalVentAttn_Med_9,51.109756,48.719512,58.134146,LH,SalVentAttn
222,7Networks_LH_SalVentAttn_Med_10,47.587629,63.659794,62.0,LH,SalVentAttn
223,7Networks_LH_SalVentAttn_Med_11,50.426667,40.36,62.253333,LH,SalVentAttn
224,7Networks_LH_SalVentAttn_Med_12,50.985075,44.716418,61.119403,LH,SalVentAttn
225,7Networks_LH_SalVentAttn_Med_13,47.333333,38.047619,64.410714,LH,SalVentAttn
226,7Networks_LH_SalVentAttn_Med_14,46.773256,66.005814,67.575581,LH,SalVentAttn
227,7Networks_LH_SalVentAttn_Med_15,50.958333,39.416667,65.666667,LH,SalVentAttn
228,7Networks_LH_SalVentAttn_Med_16,53.721311,64.565574,71.02459,LH,SalVentAttn
229,7Networks_LH_SalVentAttn_Med_17,48.954802,61.740113,71.39548,LH,SalVentAttn
230,7Networks_LH_Limbic_OFC_1,54.919192,69.363636,25.0,LH,Limbic
231,7Networks_LH_Limbic_OFC_2,51.477273,74.583333,25.761364,LH,Limbic
232,7Networks_LH_Limbic_OFC_3,58.752212,70.761062,24.504425,LH,Limbic
233,7Networks_LH_Limbic_OFC_4,49.585859,82.474747,24.737374,LH,Limbic
234,7Networks_LH_Limbic_OFC_5,53.939394,81.507576,25.583333,LH,Limbic
235,7Networks_LH_Limbic_OFC_6,57.082759,76.955172,27.265517,LH,Limbic
236,7Networks_LH_Limbic_OFC_7,47.305147,73.544118,25.955882,LH,Limbic
237,7Networks_LH_Limbic_OFC_8,46.394872,82.646154,25.2,LH,Limbic
238,7Networks_LH_Limbic_OFC_9,49.924731,89.806452,25.236559,LH,Limbic
239,7Networks_LH_Limbic_OFC_10,46.826923,70.384615,30.615385,LH,Limbic
240,7Networks_LH_Limbic_OFC_11,49.102804,95.663551,29.448598,LH,Limbic
241,7Networks_LH_Limbic_OFC_12,54.622222,94.51746,31.561905,LH,Limbic
242,7Networks_LH_Limbic_TempPole_1,60.129129,61.612613,14.066066,LH,Limbic
243,7Networks_LH_Limbic_TempPole_2,67.373702,61.086505,14.951557,LH,Limbic
244,7Networks_LH_Limbic_TempPole_3,62.084906,67.981132,15.580189,LH,Limbic
245,7Networks_LH_Limbic_TempPole_4,58.961207,58.762931,19.012931,LH,Limbic
246,7Networks_LH_Limbic_TempPole_5,64.465455,55.767273,19.774545,LH,Limbic
247,7Networks_LH_Limbic_TempPole_6,56.045714,65.554286,17.834286,LH,Limbic
248,7Networks_LH_Limbic_TempPole_7,70.130769,53.215385,19.546154,LH,Limbic
249,7Networks_LH_Limbic_TempPole_8,53.970588,59.808824,21.294118,LH,Limbic
250,7Networks_LH_Limbic_TempPole_9,63.5125,52.375,22.15,LH,Limbic
251,7Networks_LH_Limbic_TempPole_10,59.263333,68.853333,20.19,LH,Limbic
252,7Networks_LH_Limbic_TempPole_11,66.579618,47.738854,25.063694,LH,Limbic
253,7Networks_LH_Limbic_TempPole_12,55.736196,53.95092,22.110429,LH,Limbic
254,7Networks_LH_Limbic_TempPole_13,66.141204,71.75,21.597222,LH,Limbic
255,7Networks_LH_Limbic_TempPole_14,61.070175,50.678363,23.783626,LH,Limbic
256,7Networks_LH_Limbic_TempPole_15,73.488889,46.307407,23.825926,LH,Limbic
257,7Networks_LH_Limbic_TempPole_16,63.653543,67.433071,23.551181,LH,Limbic
258,7Networks_LH_Limbic_TempPole_17,67.372093,65.995349,28.12093,LH,Limbic
259,7Networks_LH_Cont_Par_1,74.536145,42.271084,58.006024,LH,Cont
260,7Networks_LH_Cont_Par_2,71.672026,37.990354,57.848875,LH,Cont
261,7Networks_LH_Cont_Par_3,60.407643,27.242038,61.261146,LH,Cont
262,7Networks_LH_Cont_Par_4,71.19697,41.363636,62.939394,LH,Cont
263,7Networks_LH_Cont_Par_5,64.1,32.541667,61.858333,LH,Cont
264,7Networks_LH_Cont_Par_6,67.4375,38.9375,62.354167,LH,Cont
265,7Networks_LH_Cont_Par_7,66.324324,36.216216,61.175676,LH,Cont
266,7Networks_LH_Cont_Par_8,68.223464,42.910615,59.184358,LH,Cont
267,7Networks_LH_Cont_Par_9,59.616667,30.6,60.3,LH,Cont
268,7Networks_LH_Cont_Par_10,65.232558,40.96124,57.775194,LH,Cont
269,7Networks_LH_Cont_Par_11,61.565574,33.467213,57.721311,LH,Cont
270,7Networks_LH_Cont_Par_12,62.419118,37.404412,56.25,LH,Cont
271,7Networks_LH_Cont_Temp_1,75.13125,42.4625,26.38125,LH,Cont
272,7Networks_LH_Cont_Temp_2,75.098765,40.152263,30.102881,LH,Cont
273,7Networks_LH_Cont_Temp_3,75.990291,38.592233,34.417476,LH,Cont
274,7Networks_LH_Cont_PFCd_1,60.022901,64.450382,65.648855,LH,Cont
275,7Networks_LH_Cont_PFCd_2,55.077922,71.428571,67.766234,LH,Cont
276,7Networks_LH_Cont_PFCl_1,65.981723,87.814621,34.600522,LH,Cont
277,7Networks_LH_Cont_PFCl_2,68.244275,83.320611,38.961832,LH,Cont
278,7Networks_LH_Cont_PFCl_3,59.491349,91.083045,41.16609,LH,Cont
279,7Networks_LH_Cont_PFCl_4,70.093458,78.53271,42.845794,LH,Cont
280,7Networks_LH_Cont_PFCl_5,64.071429,86.920635,42.246032,LH,Cont
281,7Networks_LH_Cont_PFCl_6,69.965986,69.027211,41.972789,LH,Cont
282,7Networks_LH_Cont_PFCl_7,65.963855,80.978916,44.650602,LH,Cont
283,7Networks_LH_Cont_PFCl_8,69.629213,66.831461,46.134831,LH,Cont
284,7Networks_LH_Cont_PFCl_9,68.410828,72.130573,47.818471,LH,Cont
285,7Networks_LH_Cont_PFCl_10,65.950893,81.848214,50.263393,LH,Cont
286,7Networks_LH_Cont_PFCl_11,67.15,75.169231,49.803846,LH,Cont
287,7Networks_LH_Cont_PFCl_12,63.470588,67.463235,49.720588,LH,Cont
288,7Networks_LH_Cont_PFCl_13,62.611801,78.990683,55.065217,LH,Cont
289,7Networks_LH_Cont_PFCl_14,67.312796,72.933649,53.57346,LH,Cont
290,7Networks_LH_Cont_PFCl_15,64.716667,65.616667,52.925,LH,Cont
291,7Networks_LH_Cont_OFC_1,57.595745,86.656535,28.854103,LH,Cont
292,7Networks_LH_Cont_PFCv_1,62.458599,70.210191,31.700637,LH,Cont
293,7Networks_LH_Cont_PFCv_2,61.244318,73.403409,35.3125,LH,Cont
294,7Networks_LH_Cont_pCun_1,49.027523,26.587156,54.486239,LH,Cont
295,7Networks_LH_Cont_pCun_2,49.414894,24.446809,58.297872,LH,Cont
296,7Networks_LH_Cont_pCun_3,46.647059,28.705882,58.694118,LH,Cont
297,7Networks_LH_Cont_Cing_1,48.189189,44.324324,48.513514,LH,Cont
298,7Networks_LH_Cont_Cing_2,46.555556,70.936508,48.301587,LH,Cont
299,7Networks_LH_Cont_Cing_3,47.282051,50.102564,50.153846,LH,Cont
300,7Networks_LH_Cont_Cing_4,47.105263,64.017544,50.736842,LH,Cont
301,7Networks_LH_Cont_Cing_5,46.878049,57.04878,50.878049,LH,Cont
302,7Networks_LH_Cont_PFCmp_1,46.767025,76.541219,58.90681,LH,Cont
303,7Networks_LH_Cont_PFCmp_2,47.587156,70.009174,62.669725,LH,Cont
304,7Networks_LH_Default_Temp_1,70.486804,64.390029,19.964809,LH,Default
305,7Networks_LH_Default_Temp_2,73.9,55.103704,21.988889,LH,Default
306,7Networks_LH_Default_Temp_3,75.986979,50.026042,27.520833,LH,Default
307,7Networks_LH_Default_Temp_4,71.129032,67.129032,27.497696,LH,Default
308,7Networks_LH_Default_Temp_5,70.763636,62.654545,25.854545,LH,Default
309,7Networks_LH_Default_Temp_6,75.403548,58.108647,28.290466,LH,Default
310,7Networks_LH_Default_Temp_7,76.584615,50.638462,31.953846,LH,Default
311,7Networks_LH_Default_Temp_8,71.9375,61.056818,30.806818,LH,Default
312,7Networks_LH_Default_Temp_9,70.6875,56.03125,30.640625,LH,Default
313,7Networks_LH_Default_Temp_10,76.138037,44.558282,34.730061,LH,Default
314,7Networks_LH_Default_Temp_11,71.0,51.307692,33.288462,LH,Default
315,7Networks_LH_Default_Temp_12,74.952096,56.197605,34.57485,LH,Default
316,7Networks_LH_Default_Temp_13,70.943182,45.102273,36.323864,LH,Default
317,7Networks_LH_Default_Temp_14,76.210084,37.159664,38.890756,LH,Default
318,7Networks_LH_Default_Temp_15,76.229947,49.663102,37.224599,LH,Default
319,7Networks_LH_Default_Temp_16,71.300926,40.361111,39.083333,LH,Default
320,7Networks_LH_Default_Par_1,68.745763,32.822034,45.110169,LH,Default
321,7Networks_LH_Default_Par_2,67.987179,37.679487,44.307692,LH,Default
322,7Networks_LH_Default_Par_3,74.662791,38.069767,44.244186,LH,Default
323,7Networks_LH_Default_Par_4,67.033557,30.020134,47.684564,LH,Default
324,7Networks_LH_Default_Par_5,67.285714,34.468254,48.373016,LH,Default
325,7Networks_LH_Default_Par_6,70.404959,36.0,48.603306,LH,Default
326,7Networks_LH_Default_Par_7,68.995283,27.792453,52.141509,LH,Default
